epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.57,1.26295,1.44064,1.5381,0.60441,0.4961,0.53106,0.33965,1.49177,1.95349,1.89781,0.000333017,0.000333017,0.0670313
2,472.313,1.23852,1.3876,1.51774,0.60392,0.55433,0.58695,0.37965,1.41907,1.63698,1.78288,0.000649858,0.000649858,0.0340148
3,696.622,1.23765,1.36898,1.51195,0.59003,0.52032,0.5462,0.35487,1.44731,1.76371,1.79466,0.000950199,0.000950199,0.000981855
4,918.58,1.22914,1.35724,1.50576,0.59845,0.55408,0.57609,0.37523,1.40283,1.68129,1.75871,0.00092575,0.00092575,0.00092575
5,1140.23,1.22956,1.35919,1.5128,0.61812,0.55424,0.59111,0.38447,1.41428,1.65108,1.7874,0.000901,0.000901,0.000901
6,1362.73,1.22779,1.34412,1.50666,0.59091,0.55538,0.57857,0.37587,1.4129,1.68557,1.77803,0.00087625,0.00087625,0.00087625
7,1593.73,1.2214,1.33313,1.50142,0.62501,0.57495,0.60528,0.39051,1.41222,1.62108,1.77104,0.0008515,0.0008515,0.0008515
8,1814.37,1.22192,1.32041,1.50714,0.61854,0.57994,0.60407,0.39602,1.40917,1.61352,1.77918,0.00082675,0.00082675,0.00082675
9,2034.89,1.21938,1.30025,1.49701,0.6129,0.56844,0.5923,0.3891,1.42003,1.61888,1.7775,0.000802,0.000802,0.000802
10,2255.22,1.21063,1.29971,1.49612,0.58288,0.57213,0.58699,0.38461,1.41012,1.65686,1.76239,0.00077725,0.00077725,0.00077725
11,2485.83,1.21134,1.28787,1.49237,0.61391,0.54809,0.59087,0.3886,1.4102,1.60989,1.76703,0.0007525,0.0007525,0.0007525
12,2706.22,1.20359,1.27255,1.48761,0.62345,0.54797,0.58788,0.38754,1.41067,1.62001,1.78433,0.00072775,0.00072775,0.00072775
13,2926.2,1.20381,1.25575,1.49111,0.61539,0.57578,0.59776,0.39095,1.40622,1.62216,1.76917,0.000703,0.000703,0.000703
14,3147.09,1.1908,1.24009,1.47512,0.61246,0.57741,0.59946,0.39148,1.41164,1.58774,1.77912,0.00067825,0.00067825,0.00067825
15,3367.28,1.18964,1.22902,1.4731,0.63206,0.57968,0.60579,0.39693,1.41746,1.56794,1.77979,0.0006535,0.0006535,0.0006535
16,3588.02,1.18616,1.21856,1.47293,0.63107,0.57894,0.61031,0.40047,1.39659,1.57738,1.77049,0.00062875,0.00062875,0.00062875
17,3808.13,1.17653,1.20005,1.46434,0.63804,0.55901,0.60184,0.39368,1.41103,1.58953,1.76965,0.000604,0.000604,0.000604
18,4028.36,1.17464,1.18883,1.46454,0.66338,0.5578,0.60597,0.39649,1.41634,1.59694,1.77936,0.00057925,0.00057925,0.00057925
19,4248.56,1.16768,1.17537,1.45564,0.6272,0.56539,0.60431,0.3969,1.40857,1.59271,1.77258,0.0005545,0.0005545,0.0005545
20,4468.83,1.16263,1.17023,1.45252,0.66789,0.5752,0.61742,0.40558,1.40253,1.57705,1.7781,0.00052975,0.00052975,0.00052975
21,4689.88,1.15493,1.15418,1.44878,0.63075,0.58348,0.61388,0.40374,1.40281,1.57207,1.77149,0.000505,0.000505,0.000505
22,4910.13,1.15426,1.15093,1.44465,0.63743,0.57613,0.60555,0.39741,1.41118,1.61189,1.77625,0.00048025,0.00048025,0.00048025
23,5132.34,1.14948,1.13419,1.44289,0.64907,0.55972,0.60229,0.3965,1.41505,1.61216,1.78755,0.0004555,0.0004555,0.0004555
24,5358.95,1.14336,1.12268,1.43534,0.64904,0.57894,0.61986,0.40634,1.41312,1.5667,1.78345,0.00043075,0.00043075,0.00043075
25,5580.78,1.14083,1.12079,1.43484,0.62977,0.59236,0.61232,0.4046,1.409,1.58684,1.78194,0.000406,0.000406,0.000406
26,5801.77,1.12612,1.09888,1.42492,0.64427,0.57036,0.61131,0.40199,1.40775,1.58738,1.77507,0.00038125,0.00038125,0.00038125
27,6022.99,1.1282,1.08867,1.42583,0.65052,0.57248,0.61338,0.40413,1.41075,1.58595,1.7814,0.0003565,0.0003565,0.0003565
28,6245.44,1.12316,1.07788,1.42186,0.64906,0.5724,0.61265,0.40193,1.40922,1.57547,1.77835,0.00033175,0.00033175,0.00033175
29,6467.16,1.12098,1.077,1.42157,0.63911,0.57778,0.61252,0.40143,1.40892,1.57293,1.78289,0.000307,0.000307,0.000307
30,6689.12,1.11518,1.06872,1.41615,0.64917,0.57731,0.60996,0.40234,1.40734,1.59179,1.78675,0.00028225,0.00028225,0.00028225
31,6930.8,1.1265,0.94642,1.48991,0.67117,0.57566,0.61409,0.40347,1.40241,1.56625,1.77718,0.0002575,0.0002575,0.0002575
32,7151.55,1.11534,0.92438,1.48899,0.66004,0.5756,0.61208,0.40472,1.40215,1.58133,1.77602,0.00023275,0.00023275,0.00023275
33,7372.27,1.101,0.90076,1.47374,0.64765,0.58909,0.61472,0.40628,1.4033,1.57972,1.78565,0.000208,0.000208,0.000208
34,7593.28,1.09194,0.88159,1.46191,0.65739,0.58737,0.61396,0.4053,1.40813,1.58988,1.79094,0.00018325,0.00018325,0.00018325
